Branch,Party_Group,Group_Description,Party_no,Party_name,Party_BLOC,Business_Locationname,PRT_SBLOC,LocationIdentifier_Name,Customer_State,Customer_City,LocationIdentifier_State,LocationIdentifier_City,Customer_Type,Cong_Typ,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Total_Revenue
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00008,CITY CENTRE-2 RAJARHAT                                                                              ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,6742,0,9078,0,9686,0,9176,0,8108,42790
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00017,MANI SQUARE MALL                                                                                    ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Kankurgachi                                       ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,5826,4076,7164,7404,4136,7174,35780
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00012,FORUM MALL                                                                                          ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,6725,0,6741,7159,9678,9856,3086,5916,49161
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00006,CITY CENTRE MALL SILIGURI                                                                           ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Siliguri                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,7380,0,0,0,0,0,10470,0,17850
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00011,Fairfield by Marriott                                                                               ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,5061.94,4800,8442,5344,5344,6828,7670,0,4227.4,47717.34
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00026,SSL-ML ACROPOLISSSL-ML ACROPOLIS                                                                    ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Siliguri                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,1200,0,0,0,3630,0,4830
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00015,JUNCTION MALL                                                                                       ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,Durgapur                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,5340,4036,4466,4570,0,4036,0,4764,4764,31976
WB,DG2130,SHOPPERS STOP LIMITED                                                                               ,D03425,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Y05478,SHOPPERS STOP LIMITED_WEST BENGAL                                                                   ,Z00027,ACROPOLIS MALL SSL                                                                                  ,WEST BENGAL                             ,Siliguri            ,West Bengal                                                                                                                                           ,KOLKATA                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,0,0,0,0,0,2969.4,2969.4
WB,DG0530,DELOITTE                                                                                            ,D03569,SODEXO INDIA SERVICES PRIVATE LIMITED_WEST BENGAL                                                   ,Y01911,EYGDS_WEST BENGAL                                                                                   ,Z00001,Sector-V Kolkata                                                                                    ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Facility                                                              ,CORPORATE-PAN INDIA                                                   ,6040,17960,2000,0,0,0,0,0,0,26000
WB,DG0530,DELOITTE                                                                                            ,D03569,SODEXO INDIA SERVICES PRIVATE LIMITED_WEST BENGAL                                                   ,Y01908,EY GLOBAL GDS KOLKATA_WEST BENGAL                                                                   ,Z00001,BIPL Building-Sector V                                                                              ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Facility                                                              ,CORPORATE-PAN INDIA                                                   ,2000,2000,1000,0,0,0,0,0,0,5000
WB,DG0530,DELOITTE                                                                                            ,D03569,SODEXO INDIA SERVICES PRIVATE LIMITED_WEST BENGAL                                                   ,Y05138,Ruby General Hospital Pvt.Ltd._WEST BENGAL                                                          ,Z00001,"Anandapur Golpark,Sec -1                                                                            ",WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Facility                                                              ,CORPORATE-LOCAL                                                       ,14535,0,0,-9877,0,0,0,0,0,4658
WB,      ,                                                                                                    ,D04757,SOMA SARKAR_ WEST BENGAL                                                                            ,Y07409,SOMA SARKAR                                                                                         ,Z00001,Tower 3 10H                                                                                         ,West Bengal                             ,Kolkata             ,West Bengal                                                                                                                                           ,KOLKATA                                           ,Direct Customer                                                       ,                                                                      ,0,0,0,0,0,0,0,0,580,580
WB,DG2258,SOTC TRAVEL LIMITED                                                                                 ,D03586,SOTC TRAVEL LIMITED_ASSAM                                                                           ,Y05711,SOTC TRAVEL LIMITED                                                                                 ,Z00003,PARNIL PALACE GUWAHATI                                                                              ,ASSAM                                   ,GUWAHATI            ,Assam                                                                                                                                                 ,Gmc                                               ,Direct Customer                                                       ,                                                                      ,500,8160,500,500,500,500,500,500,500,12160
WB,DG2258,SOTC TRAVEL LIMITED                                                                                 ,D03590,SOTC TRAVEL LIMITED_WEST BENGAL                                                                     ,Y05711,SOTC TRAVEL LIMITED_WEST BENGAL                                                                     ,Z00006,WOOD STREET SOTC                                                                                    ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,700,34425.5,700,700,47202.25,700,700,24037,700,109864.75
WB,DG2308,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED                                                    ,D03642,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED_WEST BENGAL                                        ,Y05804,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED_WEST BENGAL                                        ,Z00002,SEC- V - SALT LAKE                                                                                  ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-LOCAL MULTI LOCATION                                        ,2200,0,0,0,0,0,0,0,0,2200
