Branch,Doc_no,PARTY_GRP,GRP_DESC,PARTY_NAME,Customer_Type,ConsigneeName,LocationID_Code,LocationIdentifier,IM_CODE,IM_DESCR,DispatchDate,DispatchMonth,Installation_Month,July-25 (Demo),July-25 (Installation),August-25 (Demo),August-25 (Installation),September-25 (Demo),September-25 (Installation),October-25 (Demo),October-25 (Installation),November-25 (Demo),November-25 (Installation),December-25 (Demo),December-25 (Installation),January-26 (Demo),January-26 (Installation),June-26 (Installation),December-26 (Installation),Install_Date_NOT_Entered (Demo),Install_Date_NOT_Entered (Installation),Grand Total
MH,FAOTMH252600555,DG0072,Demo                                                                                                ,DEVANG PARIKH-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,Devang Parikh Demo Mharashtra                                                                       ,Z00021,WELSPUN TRANSFORMATION SERVICES LIMITED                                                             ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,29-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600556,DG0072,Demo                                                                                                ,DEVANG PARIKH-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,Devang Parikh Demo Mharashtra                                                                       ,Z00021,WELSPUN TRANSFORMATION SERVICES LIMITED                                                             ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,29-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600557,DG0072,Demo                                                                                                ,DEVANG PARIKH-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,Devang Parikh Demo Mharashtra                                                                       ,Z00021,WELSPUN TRANSFORMATION SERVICES LIMITED                                                             ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,29-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600558,DG2008,SAIRAJ ENTERPRISES                                                                                  ,SAIRAJ ENTERPRISES_MAHARASHTRA                                                                      ,Distributor                                                           ,SAIRAJ ENTERPRISES                                                                                  ,Z00001,Warjemalwadi Pune                                                                                   ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,30-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600559,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMPM-0023                    ,GBMPM-0023_6 LANE CAFEBAR (DC)                                                                                                                                                                                                                            ,30-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600560,DG1252,LITTLE EDEN HOSPITALITY                                                                             ,LITTLE EDEN HOSPITALITY_Maharashtra                                                                 ,Distributor                                                           ,LITTLE EDEN HOSPITALITY_MAHARASHTRA                                                                 ,Z00004,Satin Finserv limited                                                                               ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,31-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600561,      ,NULL,GREAT PACIFIC EXPORTS PRIVATE LIMITED_MAHARASHTRA                                                   ,Direct Customer                                                       ,GREAT PACIFIC EXPORTS PRIVATE LIMITED                                                               ,Z00001,MIDC Turbhe                                                                                         ,GBMPM-0015                    ,GBMPM-0015_3 LANE KOMPHY TRIO                                                                                                                                                                                                                             ,31-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600562,DG0158,APMOSYS TECHNOLOGIES PRIVATE LIMITED                                                                ,APMOSYS TECHNOLOGIES PRIVATE LIMITED_MAHARASHTRA                                                    ,Direct Customer                                                       ,APMOSYS TECHNOLOGIES PRIVATE LIMITED_MAHARASHTRA                                                    ,Z00004,Greenscape Technocity-3rd Floor-305                                                                 ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,01-11-2025,Nov-25,Nov-25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
MH,FAOTMH252600563,DG0072,Demo                                                                                                ,RAJKUMAR SAWO-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,RAJKUMAR SAWO-DEMO                                                                                  ,Z00001,Mswipe Technologies Pvt. Ltd.                                                                       ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,01-11-2025,Nov-25,Nov-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600564,      ,NULL,JODE TECHNOLOGIES PRIVATE LIMITED_MAHARASHTRA                                                       ,Direct Customer                                                       ,JODE TECHNOLOGIES PRIVATE LIMITED_MAHARASHTRA                                                       ,Z00001,WIFI IT PARK-  WAGLE ESTATE THANE                                                                   ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,01-11-2025,Nov-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600565,DG0821,GOSTOPS HOSPITALITY PRIVATE LIMITED                                                                 ,GOSTOPS HOSPITALITY PRIVATE LIMITED_GOA                                                             ,Direct Customer                                                       ,GOSTOPS HOSPITALITY PRIVATE LIMITED_GOA                                                             ,Z00013,Goa Baga                                                                                            ,GBMPM-0023                    ,GBMPM-0023_6 LANE CAFEBAR (DC)                                                                                                                                                                                                                            ,01-11-2025,Nov-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
